repair_count,open_repair_count,asset_age_years,warranty_days_remaining,active_hours_30d,crash_count_30d,battery_health_percent,maintenance_within_30_days
0,0,1.3299,76,620,2,94.62,0
2,0,7.8244,636,576,7,85.2,1
4,0,1.0313,633,177,4,55.39,0
5,0,2.1608,633,650,8,76.62,0
2,0,6.6338,325,423,3,87.99,0
4,0,0.8005,529,470,2,99.62,0
3,2,3.761,263,553,6,77.97,1
1,0,5.4191,38,447,4,48.12,1
1,0,4.7726,248,392,6,85.05,1
4,1,2.1837,421,624,6,84.22,0
2,1,2.3629,117,275,4,83.64,1
1,0,5.8964,537,503,9,45.99,1
1,0,8.4795,562,585,5,45.01,0
1,0,5.4919,78,168,4,96.06,0
3,1,7.507,52,82,3,55.17,1
2,0,7.3042,501,670,4,53.2,0
2,3,3.0474,513,576,6,56.22,1
3,0,6.094,570,641,4,65.58,0
2,1,5.7636,134,649,3,99.06,0
2,2,7.5254,165,389,3,87.21,1
2,0,2.7009,669,667,1,88.06,0
1,1,1.4267,72,600,4,63.83,1
2,1,0.7824,194,495,6,81.84,0
2,0,7.2526,77,169,3,97.31,0
3,0,7.5659,-9,576,5,58.15,1
4,0,2.273,334,357,5,60.32,1
2,0,2.1123,400,215,1,81.19,0
0,1,3.7166,664,655,7,67.69,1
3,0,2.4567,416,81,7,55.24,0
2,0,7.6294,540,469,2,51.46,1
2,0,2.294,198,324,4,66.89,0
2,0,4.8931,4,162,4,94.93,1
2,1,3.3537,348,410,4,95.0,1
2,0,2.8573,321,152,2,69.68,0
1,2,4.6954,258,110,8,75.56,1
1,1,6.4484,87,604,4,63.23,1
1,0,6.0121,412,148,2,85.42,0
4,0,0.6109,323,277,4,85.87,0
2,0,6.5859,197,252,6,91.31,1
4,0,3.1003,683,292,2,71.81,0
1,0,7.845,234,512,3,87.28,0
2,0,5.4831,579,497,5,90.74,0
2,0,7.5342,650,444,2,86.63,1
2,1,7.2289,141,645,4,50.68,1
3,1,3.1855,730,270,3,63.3,1
3,1,1.7071,529,249,7,86.89,0
3,1,7.0987,368,687,8,71.3,1
2,0,4.9385,148,577,5,45.63,0
2,0,5.8151,413,230,3,77.76,0
4,0,4.6518,623,353,4,87.73,0
1,1,3.3118,478,504,1,91.74,0
1,0,4.5578,387,135,4,82.98,0
3,0,8.2766,165,587,0,94.28,1
0,0,5.8356,582,157,4,89.59,0
1,3,6.5889,435,643,7,87.99,1
3,0,2.8104,87,720,4,72.54,0
3,0,8.4183,325,424,6,57.91,1
0,2,2.2603,436,393,2,94.49,0
3,2,4.8144,201,426,3,63.12,1
1,0,4.8009,210,633,6,78.11,1
2,2,5.6407,242,389,2,85.61,0
2,1,4.1609,391,375,4,69.33,0
1,3,3.0754,720,630,5,46.0,1
0,0,2.9409,406,295,3,60.94,0
4,0,2.3632,49,306,3,85.83,0
2,0,0.6661,266,287,4,59.76,0
4,2,0.9013,679,322,1,61.04,1
4,0,5.4973,92,491,3,97.16,1
2,0,0.7413,557,206,6,59.74,1
1,0,4.902,478,540,1,47.28,0
3,1,6.5645,29,272,2,49.97,1
3,0,3.6567,473,93,4,71.9,0
0,0,2.0231,104,137,2,45.68,0
0,0,0.7581,1,705,1,58.83,0
2,0,7.8076,577,138,5,65.99,1
1,0,3.2816,315,266,2,82.43,0
3,1,7.9947,-19,284,2,76.79,1
1,0,7.7075,357,413,3,86.18,1
1,0,4.6494,408,650,6,57.63,1
3,0,7.7524,36,251,3,49.91,1
5,0,6.6281,131,471,0,58.0,1
0,0,5.3035,154,405,6,96.15,0
7,2,1.371,22,162,1,48.44,0
3,1,8.4783,-9,293,3,70.04,1
4,1,0.7717,324,195,1,82.06,0
4,1,3.7202,140,149,5,47.13,1
2,1,5.0501,193,594,3,55.93,1
2,0,1.0672,482,523,4,52.74,0
1,1,8.4223,310,512,1,71.68,0
5,0,2.9854,69,417,4,71.21,0
5,0,1.8608,53,341,3,57.62,1
3,3,3.2474,527,145,4,78.55,1
2,0,6.6894,137,598,2,68.17,0
2,0,5.5659,639,633,4,51.88,0
3,0,5.1607,636,325,1,86.79,0
4,1,1.2628,336,426,6,92.59,0
6,0,1.9858,654,285,6,62.74,0
2,1,6.4935,244,532,5,57.68,1
3,3,6.8251,308,335,7,55.67,1
2,0,6.3718,284,682,5,67.89,1
4,0,4.4769,-8,306,5,91.89,0
4,0,8.0021,283,208,1,79.64,0
1,0,7.0222,168,366,4,54.42,0
2,0,2.9796,216,217,3,46.62,0
1,1,3.5832,381,715,3,49.14,1
2,0,5.534,476,371,2,63.23,1
1,0,5.1168,280,272,6,95.02,0
3,0,7.0588,142,668,9,62.76,1
2,0,5.6899,479,161,7,90.44,1
1,1,6.6127,183,486,4,84.56,0
3,0,8.2013,515,182,3,46.67,1
2,0,5.8374,494,178,3,92.32,0
5,0,4.716,32,253,11,47.03,1
3,0,7.3534,326,416,2,67.14,1
2,1,6.9996,442,639,2,70.66,0
3,0,1.4071,268,333,4,69.81,0
2,0,1.7898,459,124,6,81.72,0
0,0,7.4135,461,308,5,78.33,1
2,1,3.9095,320,459,3,58.14,1
2,0,2.7827,561,194,1,82.39,0
4,0,7.1642,623,187,4,80.8,0
1,2,8.4837,383,498,6,84.4,1
8,0,4.0659,205,571,0,90.13,1
1,0,7.6811,515,430,2,69.36,0
1,1,6.4065,629,522,4,95.62,1
3,0,0.8041,629,548,7,58.25,0
1,0,1.5076,658,680,1,48.85,0
3,0,7.8187,362,209,2,95.36,1
3,0,0.5824,261,346,5,74.13,0
4,1,2.5896,235,321,2,94.5,0
4,0,2.3103,421,302,6,76.82,0
2,0,7.0864,372,530,4,81.37,1
2,1,3.9022,679,642,6,87.98,0
1,1,2.9549,578,307,8,53.28,1
7,0,4.9465,476,542,9,61.49,1
3,0,4.8562,-22,257,3,88.32,1
3,0,1.478,515,399,6,60.35,0
2,1,3.9994,632,694,5,93.38,0
2,0,3.1354,661,318,5,77.52,0
2,1,2.9535,384,233,3,82.92,1
2,0,7.7196,580,378,4,63.08,0
3,0,0.9008,713,225,5,61.2,0
1,0,5.1093,602,530,14,77.38,0
3,2,1.7484,217,347,0,92.6,0
1,0,1.8151,463,287,3,57.56,0
2,0,7.4834,441,697,4,70.18,1
7,2,3.3466,412,639,6,87.06,1
2,0,5.906,263,518,6,65.76,0
3,0,0.9322,172,657,5,83.41,0
3,0,3.5578,14,682,4,86.19,1
2,0,5.5166,449,377,2,64.49,0
0,3,3.8025,259,707,4,55.02,0
4,0,4.2077,243,267,3,71.94,0
1,1,8.2971,84,276,5,45.22,1
4,1,3.788,728,221,2,60.34,0
1,1,6.4733,634,210,3,84.98,1
1,0,4.0184,546,422,8,55.41,0
2,0,1.3217,693,438,7,81.84,0
1,0,5.2556,397,389,4,70.16,1
4,1,4.3108,345,589,4,62.24,0
1,0,1.6385,431,577,2,48.35,0
4,1,8.2109,268,279,2,87.55,1
4,0,4.9797,551,701,9,69.55,1
3,2,5.0901,-23,132,6,61.54,1
3,1,5.6677,681,298,3,56.78,0
4,1,6.6946,568,635,2,95.64,1
1,2,2.216,286,711,2,53.22,0
2,0,8.4843,154,298,0,70.36,1
1,1,2.6106,375,629,3,83.42,0
3,0,3.076,20,526,5,94.23,0
1,2,6.6767,195,209,3,85.93,0
4,2,1.4118,358,490,0,50.84,0
2,0,6.8399,348,641,2,49.83,1
1,2,4.479,612,222,3,46.94,1
3,2,4.1398,350,620,5,76.07,0
1,0,2.6074,721,133,3,60.69,0
1,1,3.2165,571,208,4,92.42,0
1,1,5.0838,460,505,9,89.51,1
2,1,3.8923,124,399,5,59.84,1
1,2,7.9293,459,312,1,69.23,1
2,1,7.8236,131,188,4,91.14,0
0,0,8.2569,184,318,3,76.91,1
5,0,7.241,675,584,2,86.62,1
2,1,0.9387,527,316,4,70.25,0
2,1,7.621,385,253,2,47.49,1
3,1,5.7032,682,285,8,54.37,1
6,0,4.7611,619,180,6,63.94,0
3,0,1.9212,407,699,4,75.38,0
6,0,6.5276,378,636,5,62.95,1
0,0,1.6724,677,358,3,48.94,0
2,1,7.1947,572,585,4,85.38,1
4,0,7.4211,664,510,4,87.52,0
5,2,8.0682,364,401,2,80.6,1
3,2,3.9213,419,624,2,84.47,1
3,1,1.9314,165,233,2,73.83,1
1,1,3.1568,472,477,4,75.43,1
2,0,2.306,156,698,4,86.69,0
0,3,8.0729,-19,109,5,76.48,1
3,0,7.0725,503,404,0,63.81,1
3,0,2.6875,-11,186,6,78.93,0
4,0,1.2909,646,123,8,51.02,0
4,0,7.5099,444,296,5,73.83,1
1,0,4.1239,103,715,3,59.27,1
1,0,5.8773,398,250,4,71.1,0
5,1,1.8151,531,443,5,70.95,0
3,0,2.0194,722,615,2,70.31,0
2,1,0.7892,305,657,6,74.91,0
1,0,6.3128,629,174,7,47.82,0
0,0,3.0807,681,315,3,78.94,0
0,1,4.9582,2,177,5,84.16,1
7,1,2.0091,586,144,6,84.87,0
3,1,0.7363,272,586,4,97.63,0
2,1,1.725,106,342,5,88.65,1
3,3,0.5985,491,108,5,76.06,0
2,0,5.7964,494,447,9,87.93,1
5,0,4.834,307,83,2,47.35,0
1,1,6.3445,238,398,1,57.29,1
2,2,1.7971,411,435,5,55.16,0
1,0,5.0998,78,187,0,64.16,0
2,2,4.5535,405,425,3,71.5,1
4,2,4.8961,229,376,5,74.1,0
1,0,4.8245,51,447,4,92.13,0
4,2,6.9456,187,129,2,49.07,1
4,2,0.6284,653,711,3,80.81,1
4,1,8.2922,727,300,5,49.68,1
2,1,6.8696,379,566,2,71.12,1
2,2,4.5332,582,502,5,85.16,1
1,1,2.2164,37,102,7,52.31,0
1,1,7.7181,571,637,10,65.33,1
1,0,4.4423,285,445,3,51.62,1
2,1,4.4769,191,254,3,61.47,0
1,0,6.2143,548,300,7,86.96,0
1,0,5.5467,239,362,6,49.07,1
2,0,3.001,411,656,2,49.62,0
1,1,6.181,476,249,2,56.19,0
2,1,1.4147,474,83,0,66.2,0
1,0,8.0305,169,377,4,80.12,0
1,1,6.8883,49,367,4,60.82,1
4,0,6.957,410,171,3,78.84,0
3,0,7.237,-3,200,5,93.34,1
1,0,7.6986,16,418,2,97.98,0
2,1,4.5808,588,276,4,51.61,1
4,1,1.6634,343,213,4,74.83,0
1,2,5.7438,230,328,6,59.38,1
2,0,2.5691,532,470,2,48.82,0
2,0,6.6559,540,678,5,95.84,0
1,3,4.8066,443,113,6,53.57,1
1,1,2.0958,152,226,4,61.57,0
2,0,1.1619,555,650,0,56.31,0
2,2,6.4975,250,353,5,65.43,1
2,3,6.0713,244,271,2,68.71,0
3,1,5.7783,488,116,6,62.15,1
1,1,5.2239,329,550,4,97.33,0
2,1,2.6675,692,247,4,84.6,0
6,1,3.6452,561,647,4,68.77,1
4,1,7.8349,492,228,4,89.98,1
2,0,0.7605,469,491,7,89.57,0
3,0,1.3516,2,666,3,64.27,0
2,0,7.2,584,80,3,55.77,1
4,0,2.5059,271,169,6,92.23,0
2,2,1.1468,205,700,4,66.01,0
1,1,6.0423,350,661,2,78.68,1
4,1,7.4636,453,587,4,61.25,1
3,0,2.1595,150,228,5,79.94,1
5,0,7.3621,413,507,3,64.26,1
1,2,7.8638,727,424,2,77.83,1
0,0,3.2196,274,406,5,66.26,0
1,0,7.3305,104,327,2,60.88,0
2,1,2.4157,433,148,4,92.81,0
2,0,2.4304,299,698,0,77.49,0
0,1,8.4233,477,323,4,72.17,1
1,1,4.3621,424,256,7,60.13,0
4,0,5.3257,675,468,5,82.08,0
0,0,1.98,347,547,2,84.93,0
2,0,2.4222,402,579,7,96.37,0
4,0,7.2035,568,234,6,82.82,1
1,1,0.6331,648,551,0,53.55,0
4,0,5.7108,508,302,4,91.45,1
3,0,4.0173,163,479,4,95.01,0
4,0,4.3143,226,88,3,85.26,1
3,1,3.5433,471,557,4,60.12,1
2,0,1.4798,436,93,7,98.5,0
1,3,4.5611,47,587,3,66.01,1
3,0,5.743,679,699,4,70.05,1
4,1,8.2656,491,618,5,50.86,1
2,1,1.2224,657,484,2,85.15,0
5,1,2.3708,575,692,8,58.22,1
1,0,4.1007,516,385,7,84.23,0
0,1,6.5338,608,194,6,83.04,0
5,1,7.2274,238,164,2,45.69,1
1,0,3.4062,290,443,5,56.08,0
2,2,6.1903,277,226,4,57.0,1
5,0,1.335,415,631,4,71.73,0
4,0,2.7083,359,133,1,74.72,0
2,0,7.0652,461,459,2,84.4,1
3,1,2.0867,219,674,5,69.01,1
2,2,3.5131,133,94,5,87.88,0
2,1,4.7246,228,356,3,67.51,0
3,0,4.2266,638,231,4,51.5,1
3,0,8.2862,193,688,2,74.75,0
2,2,6.1772,303,430,3,90.84,0
3,0,3.0983,101,371,3,88.52,0
4,0,6.8425,316,482,4,90.95,0
0,0,6.2102,71,265,3,81.25,0
1,1,3.0267,87,681,2,59.25,0
3,0,3.5636,139,677,4,86.56,0
0,0,2.9001,700,130,8,53.32,0
4,0,1.9974,447,126,0,65.69,0
3,0,6.7475,-19,408,7,85.83,1
0,2,6.2349,99,114,6,86.39,1
3,0,5.8349,679,339,0,64.16,1
3,0,0.7788,342,190,2,60.91,0
3,3,6.391,408,543,4,89.8,1
0,0,5.7975,494,308,5,53.52,1
1,0,5.0422,455,143,3,85.91,0
3,1,2.0868,609,370,5,98.38,0
5,1,8.2492,584,511,5,97.97,1
4,0,5.7537,600,362,0,60.39,0
2,1,7.3275,653,120,1,55.1,1
1,1,6.5188,627,353,4,66.96,1
6,1,5.7949,147,162,10,95.33,1
4,0,2.3942,88,360,3,52.58,1
1,1,2.2858,509,373,5,52.06,0
3,0,4.2088,52,107,2,75.83,0
5,1,2.3354,549,429,2,55.01,1
1,1,2.1528,330,186,3,67.4,0
3,1,3.6475,130,455,6,94.08,0
1,1,2.1745,355,115,4,86.01,0
3,0,4.0221,423,604,2,45.78,1
3,0,5.8973,175,126,4,88.14,0
2,1,3.1864,399,338,2,60.53,0
2,2,1.2908,462,574,4,66.37,0
1,0,3.1295,677,188,5,57.98,0
2,0,7.5238,291,570,2,92.3,1
2,0,3.7089,361,364,3,47.89,0
2,0,6.3591,157,203,2,65.01,1
1,0,5.7968,588,226,6,57.98,1
1,0,6.36,12,347,6,95.58,0
